seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
14	96083699	96084043	345	*	Intron (ENST00000553764/ENSG00000227051, intron 2 of 2)	14	96039384	96086809	47426	1	ENSG00000227051	ENST00000553782	44315	56967	C14orf132	chromosome 14 open reading frame 132
14	96104703	96105177	475	*	Distal Intergenic	14	96039384	96086809	47426	1	ENSG00000227051	ENST00000553782	65319	56967	C14orf132	chromosome 14 open reading frame 132
14	96117176	96117789	614	*	Distal Intergenic	14	96039384	96086809	47426	1	ENSG00000227051	ENST00000553782	77792	56967	C14orf132	chromosome 14 open reading frame 132
1	67479200	67479583	384	*	Distal Intergenic	1	67522299	67532330	10032	1	ENSG00000235200	ENST00000667745	-42716	102724481	LINC01702	long intergenic non-protein coding RNA 1702
14	96204369	96205075	707	*	Promoter (<=1kb)	14	96204679	96244166	39488	1	ENSG00000168398	ENST00000542454	0	624	BDKRB2	bradykinin receptor B2
14	96239732	96240185	454	*	Promoter (1-2kb)	14	96242141	96263847	21707	1	ENSG00000258691	ENST00000555847	-1956	NA	NA	NA
14	96253207	96253422	216	*	Promoter (2-3kb)	14	96256210	96264763	8554	1	ENSG00000100739	ENST00000216629	-2788	623	BDKRB1	bradykinin receptor B1
14	96409645	96410037	393	*	Intron (ENST00000267584/ENSG00000140057, intron 4 of 17)	14	96398198	96421566	23369	1	ENSG00000140057	ENST00000554313	11447	122481	AK7	adenylate kinase 7
14	96501743	96502519	777	*	Promoter (<=1kb)	14	96502376	96537901	35526	1	ENSG00000090060	ENST00000618976	0	10914	PAPOLA	poly(A) polymerase alpha
14	96584272	96584521	250	*	Distal Intergenic	14	96592399	96595737	3339	1	ENSG00000258702	ENST00000660184	-7878	NA	NA	NA
14	96783378	96783827	450	*	Intron (ENST00000650059/ENSG00000258979, intron 4 of 4)	14	96797304	96881612	84309	1	ENSG00000100749	ENST00000553683	-13477	7443	VRK1	VRK serine/threonine kinase 1
14	96904260	96904562	303	*	Intron (ENST00000681598/ENSG00000100749, intron 8 of 9)	14	96877390	96881407	4018	1	ENSG00000100749	ENST00000555402	26870	7443	VRK1	VRK serine/threonine kinase 1
14	98069878	98070150	273	*	Intron (ENST00000663808/ENSG00000259097, intron 3 of 3)	14	98068161	98093182	25022	2	ENSG00000259097	ENST00000663808	23032	NA	NA	NA
14	99378770	99379339	570	*	Distal Intergenic	14	99398732	99413250	14519	2	ENSG00000183576	ENST00000489770	33911	84193	SETD3	SET domain containing 3, actin N3(tau)-histidine methyltransferase
1	67561737	67562147	411	*	Promoter (<=1kb)	1	67561073	67561446	374	1	ENSG00000238139	ENST00000414338	664	NA	NA	NA
14	99480810	99481655	846	*	Promoter (<=1kb)	14	99481169	99502376	21208	1	ENSG00000090061	ENST00000557165	0	8812	CCNK	cyclin K
14	99574091	99575411	1321	*	Promoter (1-2kb)	14	99516265	99572975	56711	2	ENSG00000205476	ENST00000556348	-1116	317762	CCDC85C	coiled-coil domain containing 85C
14	99579116	99580499	1384	*	Promoter (<=1kb)	14	99515200	99580126	64927	2	ENSG00000205476	ENST00000554996	0	317762	CCDC85C	coiled-coil domain containing 85C
14	99821695	99822027	333	*	Intron (ENST00000554479/ENSG00000066629, intron 1 of 10)	14	99809451	99865597	56147	1	ENSG00000066629	ENST00000553720	12244	2009	EML1	EMAP like 1
14	100142278	100142885	608	*	Promoter (1-2kb)	14	100141180	100142235	1056	1	ENSG00000196405	ENST00000556258	1098	51466	EVL	Enah/Vasp-like
14	100240430	100240779	350	*	Promoter (<=1kb)	14	100240639	100278586	37948	1	ENSG00000100811	ENST00000704485	0	7528	YY1	YY1 transcription factor
1	67572662	67573344	683	*	Distal Intergenic	1	67561073	67561446	374	1	ENSG00000238139	ENST00000414338	11589	NA	NA	NA
14	100747081	100747385	305	*	Distal Intergenic	14	100727030	100729234	2205	1	ENSG00000185559	ENST00000556051	20051	8788	DLK1	delta like non-canonical Notch ligand 1
14	101323666	101323898	233	*	Distal Intergenic	14	101324167	101335493	11327	2	ENSG00000258460	ENST00000701839	11595	124903387	LOC124903387	uncharacterized LOC124903387
1	67580563	67581277	715	*	Distal Intergenic	1	67561073	67561446	374	1	ENSG00000238139	ENST00000414338	19490	NA	NA	NA
14	101408523	101408954	432	*	Promoter (<=1kb)	14	101405991	101408258	2268	2	ENSG00000259023	ENST00000670271	-265	338002	LINC00524	long intergenic non-protein coding RNA 524
14	101552621	101553114	494	*	Promoter (2-3kb)	14	101552230	101555384	3155	2	ENSG00000258498	ENST00000700213	2270	64150	DIO3OS	DIO3 opposite strand upstream RNA
14	101710154	101710591	438	*	Intron (ENST00000557778/ENSG00000258404, intron 1 of 2)	14	101730437	101732534	2098	1	ENSG00000258512	ENST00000556973	-19846	145200	LINC00239	long intergenic non-protein coding RNA 239
14	101772679	101773278	600	*	Intron (ENST00000694906/ENSG00000078304, intron 2 of 15)	14	101762928	101836451	73524	1	ENSG00000078304	ENST00000553890	9751	5527	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma
14	101809678	101810479	802	*	Promoter (<=1kb)	14	101809803	101927519	117717	1	ENSG00000078304	ENST00000350249	0	5527	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma
14	101965044	101965609	566	*	Promoter (<=1kb)	14	101964688	102004683	39996	1	ENSG00000197102	ENST00000681751	356	1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
14	101980681	101981013	333	*	Intron (ENST00000680001/ENSG00000197102, intron 5 of 23)	14	101986414	101989605	3192	1	ENSG00000197102	ENST00000681321	-5401	1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
14	102028517	102029181	665	*	Promoter (<=1kb)	14	102028272	102030711	2440	1	ENSG00000197102	ENST00000642882	245	1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
14	102034273	102034656	384	*	Promoter (1-2kb)	14	102033157	102050716	17560	1	ENSG00000197102	ENST00000643829	1116	1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
14	102055189	102055906	718	*	Promoter (2-3kb)	14	102036647	102052854	16208	2	ENSG00000293472	ENST00000557242	-2335	NA	NA	NA
14	102063125	102063771	647	*	Promoter (2-3kb)	14	102036669	102066228	29560	2	ENSG00000293472	ENST00000553701	2457	NA	NA	NA
14	102097262	102097954	693	*	Intron (ENST00000334701/ENSG00000080824, intron 2 of 11)	14	102085886	102087044	1159	2	ENSG00000080824	ENST00000556554	-10218	3320	HSP90AA1	heat shock protein 90 alpha family class A member 1
14	102139037	102141018	1982	*	Promoter (<=1kb)	14	102081049	102139686	58638	2	ENSG00000080824	ENST00000334701	0	3320	HSP90AA1	heat shock protein 90 alpha family class A member 1
14	102187113	102187368	256	*	Intron (ENST00000557485/ENSG00000140153, intron 1 of 2)	14	102191241	102208848	17608	1	ENSG00000140153	ENST00000555973	-3873	91833	WDR20	WD repeat domain 20
14	102220976	102221480	505	*	Intron (ENST00000335263/ENSG00000140153, intron 3 of 3)	14	102224500	102225672	1173	2	ENSG00000080823	ENST00000559512	4192	5891	MOK	MOK protein kinase
14	102262749	102263296	548	*	Promoter (1-2kb)	14	102228831	102264651	35821	2	ENSG00000080823	ENST00000523485	1355	5891	MOK	MOK protein kinase
14	102508469	102508838	370	*	Promoter (<=1kb)	14	102506842	102508817	1976	2	ENSG00000156381	ENST00000559651	0	122416	ANKRD9	ankyrin repeat domain 9
14	102527381	102528219	839	*	Distal Intergenic	14	102539644	102539726	83	1	ENSG00000266015	ENST00000582498	-11425	100422954	MIR4309	microRNA 4309
14	102532227	102532572	346	*	Distal Intergenic	14	102539644	102539726	83	1	ENSG00000266015	ENST00000582498	-7072	100422954	MIR4309	microRNA 4309
14	102568043	102568370	328	*	Intron (ENST00000701178/ENSG00000289862, intron 1 of 1)	14	102582888	102583177	290	2	ENSG00000239224	ENST00000479428	14807	106479420	RN7SL546P	RNA, 7SL, cytoplasmic 546, pseudogene
14	102579905	102580171	267	*	Intron (ENST00000701178/ENSG00000289862, intron 1 of 1)	14	102582888	102583177	290	2	ENSG00000239224	ENST00000479428	3006	106479420	RN7SL546P	RNA, 7SL, cytoplasmic 546, pseudogene
14	102594660	102594852	193	*	Promoter (2-3kb)	14	102592649	102730561	137913	1	ENSG00000089902	ENST00000262241	2011	23186	RCOR1	REST corepressor 1
14	102795117	102795852	736	*	Intron (ENST00000392745/ENSG00000131323, intron 1 of 11)	14	102777618	102871953	94336	1	ENSG00000131323	ENST00000560463	17499	7187	TRAF3	TNF receptor associated factor 3
14	102799683	102800081	399	*	Intron (ENST00000392745/ENSG00000131323, intron 1 of 11)	14	102777618	102871953	94336	1	ENSG00000131323	ENST00000560463	22065	7187	TRAF3	TNF receptor associated factor 3
14	102807518	102807872	355	*	Intron (ENST00000392745/ENSG00000131323, intron 1 of 11)	14	102828041	102911450	83410	1	ENSG00000131323	ENST00000699893	-20169	7187	TRAF3	TNF receptor associated factor 3
14	103026225	103026586	362	*	Intron (ENST00000559043/ENSG00000198752, intron 1 of 35)	14	103041469	103042094	626	1	ENSG00000213176	ENST00000488133	-14883	100129176	RPL13P6	ribosomal protein L13 pseudogene 6
1	67646760	67647352	593	*	Distal Intergenic	1	67656831	67657129	299	2	ENSG00000242482	ENST00000473024	9777	106480506	RN7SL392P	RNA, 7SL, cytoplasmic 392, pseudogene
14	103108786	103109225	440	*	Promoter (1-2kb)	14	103107622	103110559	2938	1	ENSG00000205436	ENST00000559693	1164	91828	EXOC3L4	exocyst complex component 3 like 4
14	103109665	103111958	2294	*	Promoter (2-3kb)	14	103107622	103110559	2938	1	ENSG00000205436	ENST00000559693	2043	91828	EXOC3L4	exocyst complex component 3 like 4
14	103115959	103116176	218	*	Promoter (2-3kb)	14	103118351	103120147	1797	1	ENSG00000288610	ENST00000675346	-2175	NA	NA	NA
14	103123068	103123505	438	*	Promoter (<=1kb)	14	103123442	103130033	6592	1	ENSG00000185215	ENST00000559195	0	7127	TNFAIP2	TNF alpha induced protein 2
14	103158771	103159207	437	*	Distal Intergenic	14	103148597	103149408	812	1	ENSG00000259535	ENST00000559810	10174	122409	RPL21P12	ribosomal protein L21 pseudogene 12
14	103160897	103161511	615	*	Distal Intergenic	14	103148597	103149408	812	1	ENSG00000259535	ENST00000559810	12300	122409	RPL21P12	ribosomal protein L21 pseudogene 12
14	103207041	103208098	1058	*	Promoter (<=1kb)	14	103207748	103207789	42	1	ENSG00000270705	ENST00000605531	0	NA	NA	NA
14	103250923	103251347	425	*	Distal Intergenic	14	103241492	103241972	481	1	ENSG00000242837	ENST00000488305	9431	319144	RPL21P13	ribosomal protein L21 pseudogene 13
14	103253462	103254040	579	*	Distal Intergenic	14	103241492	103241972	481	1	ENSG00000242837	ENST00000488305	11970	319144	RPL21P13	ribosomal protein L21 pseudogene 13
14	103260422	103260956	535	*	Distal Intergenic	14	103279223	103279700	478	1	ENSG00000270938	ENST00000605103	-18267	NA	NA	NA
14	103295951	103296307	357	*	Distal Intergenic	14	103282933	103283468	536	1	ENSG00000240624	ENST00000494237	13018	326288	RPL17P4	ribosomal protein L17 pseudogene 4
14	103333083	103334954	1872	*	Promoter (<=1kb)	14	103333544	103335844	2301	1	ENSG00000100664	ENST00000560877	0	1983	EIF5	eukaryotic translation initiation factor 5
14	103384799	103385922	1124	*	Promoter (<=1kb)	14	103385377	103503820	118444	1	ENSG00000075413	ENST00000678179	0	4140	MARK3	microtubule affinity regulating kinase 3
14	103518635	103518842	208	*	Promoter (1-2kb)	14	103520153	103520728	576	2	ENSG00000166165	ENST00000555366	1886	1152	CKB	creatine kinase B
14	103520629	103521756	1128	*	Promoter (<=1kb)	14	103519668	103521322	1655	2	ENSG00000166165	ENST00000554989	0	1152	CKB	creatine kinase B
14	103528956	103529283	328	*	Promoter (<=1kb)	14	103529196	103537073	7878	1	ENSG00000166166	ENST00000389749	0	115708	TRMT61A	tRNA methyltransferase 61A
14	103539344	103541344	2001	*	Distal Intergenic	14	103550345	103550406	62	1	ENSG00000252469	ENST00000516660	-9001	106479085	RNU7-160P	RNA, U7 small nuclear 160 pseudogene
14	103552451	103552699	249	*	Promoter (<=1kb)	14	103553421	103561877	8457	1	ENSG00000258851	ENST00000556332	-722	NA	NA	NA
14	103561791	103563372	1582	*	Promoter (<=1kb)	14	103561896	103657734	95839	1	ENSG00000126214	ENST00000557172	0	3831	KLC1	kinesin light chain 1
14	103572037	103572286	250	*	Promoter (<=1kb)	14	103571756	103607523	35768	1	ENSG00000256053	ENST00000474271	281	84334	COA8	cytochrome c oxidase assembly factor 8
14	103705165	103705512	348	*	Promoter (1-2kb)	14	103698943	103703347	4405	2	ENSG00000126215	ENST00000554774	-1818	7517	XRCC3	X-ray repair cross complementing 3
14	103736180	103736634	455	*	Promoter (1-2kb)	14	103733753	103737696	3944	2	ENSG00000088808	ENST00000555825	1062	23368	PPP1R13B	protein phosphatase 1 regulatory subunit 13B
1	67689679	67690258	580	*	Distal Intergenic	1	67685676	67686586	911	1	ENSG00000116717	ENST00000484245	4003	1647	GADD45A	growth arrest and DNA damage inducible alpha
14	103756328	103756758	431	*	Intron (ENST00000647748/ENSG00000088808, intron 4 of 15)	14	103762803	103763147	345	1	ENSG00000270591	ENST00000604583	-6045	NA	NA	NA
14	103910335	103910617	283	*	Distal Intergenic	14	103912516	103914142	1627	2	ENSG00000156411	ENST00000554287	3525	9556	ATP5MJ	ATP synthase membrane subunit j
14	104677673	104678407	735	*	Promoter (<=1kb)	14	104677694	104677749	56	2	ENSG00000265291	ENST00000582316	0	100616300	MIR4710	microRNA 4710
14	104687827	104688464	638	*	Promoter (<=1kb)	14	104688307	104689739	1433	1	ENSG00000203485	ENST00000675248	0	64423	INF2	inverted formin 2
14	104882383	104882686	304	*	Intron (ENST00000414716/ENSG00000099814, intron 6 of 18)	14	104893934	104895059	1126	1	ENSG00000099814	ENST00000251181	-11248	283638	CEP170B	centrosomal protein 170B
14	105020926	105021517	592	*	Promoter (<=1kb)	14	105009573	105021083	11511	2	ENSG00000170779	ENST00000336219	0	55038	CDCA4	cell division cycle associated 4
14	105032187	105032916	730	*	Distal Intergenic	14	105009573	105021083	11511	2	ENSG00000170779	ENST00000336219	-11104	55038	CDCA4	cell division cycle associated 4
14	105087285	105088764	1480	*	Distal Intergenic	14	105092737	105098674	5938	1	ENSG00000257556	ENST00000686753	-3973	NA	NA	NA
14	105091534	105092371	838	*	Promoter (<=1kb)	14	105092737	105098674	5938	1	ENSG00000257556	ENST00000686753	-366	NA	NA	NA
14	105093768	105094124	357	*	Promoter (<=1kb)	14	105093973	105100131	6159	1	ENSG00000257556	ENST00000655276	0	NA	NA	NA
14	105119047	105119291	245	*	Distal Intergenic	14	105112690	105112863	174	2	ENSG00000258154	ENST00000546955	-6184	NA	NA	NA
14	105176096	105176338	243	*	Promoter (1-2kb)	14	105175865	105177757	1893	2	ENSG00000183828	ENST00000550002	1419	256281	NUDT14	nudix hydrolase 14
14	105248193	105248663	471	*	Promoter (<=1kb)	14	105248533	105251093	2561	1	ENSG00000184887	ENST00000392554	0	90135	BTBD6	BTB domain containing 6
1	67723706	67724005	300	*	Intron (ENST00000370982/ENSG00000172380, intron 2 of 3)	1	67685676	67686586	911	1	ENSG00000116717	ENST00000484245	38030	1647	GADD45A	growth arrest and DNA damage inducible alpha
14	105465549	105466003	455	*	Promoter (<=1kb)	14	105465334	105470542	5209	1	ENSG00000182979	ENST00000552286	215	9112	MTA1	metastasis associated 1
14	105473214	105474355	1142	*	Promoter (<=1kb)	14	105472962	105479694	6733	1	ENSG00000182809	ENST00000483017	252	1397	CRIP2	cysteine rich protein 2
14	105489697	105490194	498	*	Promoter (<=1kb)	14	105489855	105499575	9721	1	ENSG00000185347	ENST00000329886	0	283643	TEDC1	tubulin epsilon and delta complex 1
15	20193004	20193298	295	*	Distal Intergenic	15	20153776	20160826	7051	1	ENSG00000258780	ENST00000554269	39228	642311	BMS1P15	BMS1 pseudogene 15
1	67749370	67750608	1239	*	Intron (ENST00000370982/ENSG00000172380, intron 2 of 3)	1	67772593	67772653	61	2	ENSG00000238778	ENST00000459562	22045	100151677	RNU7-80P	RNA, U7 small nuclear 80 pseudogene
15	20506053	20506643	591	*	Promoter (<=1kb)	15	20383115	20506161	123047	2	ENSG00000290376	ENST00000428453	0	283755	HERC2P3	HERC2 pseudogene 3
15	22494362	22494976	615	*	Promoter (<=1kb)	15	22495570	22579813	84244	1	ENSG00000276550	ENST00000613386	-594	NA	NA	NA
15	22599678	22600411	734	*	Distal Intergenic	15	22606022	22608126	2105	2	ENSG00000291261	ENST00000647991	7715	NA	NA	NA
15	22838282	22838848	567	*	Promoter (<=1kb)	15	22838644	22851665	13022	1	ENSG00000140157	ENST00000560205	0	81614	NIPA2	NIPA magnesium transporter 2
15	23303500	23303816	317	*	Distal Intergenic	15	23309607	23313276	3670	1	ENSG00000274471	ENST00000619355	-5791	NA	NA	NA
15	25438135	25438539	405	*	Promoter (<=1kb)	15	25339106	25438524	99419	2	ENSG00000114062	ENST00000428984	0	7337	UBE3A	ubiquitin protein ligase E3A
15	25438919	25439316	398	*	Promoter (<=1kb)	15	25333728	25438925	105198	2	ENSG00000114062	ENST00000638011	0	7337	UBE3A	ubiquitin protein ligase E3A
15	26082074	26082783	710	*	Distal Intergenic	15	26050538	26052276	1739	2	ENSG00000258931	ENST00000557426	-29798	NA	NA	NA
15	28322079	28322370	292	*	Promoter (<=1kb)	15	28111040	28322179	211140	2	ENSG00000128731	ENST00000261609	0	8924	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
15	28589225	28589512	288	*	Promoter (<=1kb)	15	28589469	28591924	2456	1	ENSG00000291259	ENST00000689854	0	NA	NA	NA
15	29924760	29925027	268	*	Intron (ENST00000356107/ENSG00000104067, intron 2 of 28)	15	29800496	29956294	155799	2	ENSG00000104067	ENST00000473741	31267	7082	TJP1	tight junction protein 1
15	29925354	29925778	425	*	Intron (ENST00000356107/ENSG00000104067, intron 2 of 28)	15	29800496	29956294	155799	2	ENSG00000104067	ENST00000473741	30516	7082	TJP1	tight junction protein 1
15	33068643	33069038	396	*	Promoter (<=1kb)	15	33062667	33068162	5496	2	ENSG00000248905	ENST00000558197	-481	342184	FMN1	formin 1
15	33104376	33104654	279	*	Promoter (1-2kb)	15	33105758	33106236	479	2	ENSG00000279958	ENST00000623516	1582	NA	NA	NA
15	33194671	33195142	472	*	Promoter (<=1kb)	15	32765544	33194714	429171	2	ENSG00000248905	ENST00000616417	0	342184	FMN1	formin 1
15	33242224	33242493	270	*	Promoter (<=1kb)	15	33235552	33242290	6739	2	ENSG00000293377	ENST00000713553	0	NA	NA	NA
1	67791625	67792329	705	*	Intron (ENST00000370982/ENSG00000172380, intron 1 of 3)	1	67772593	67772653	61	2	ENSG00000238778	ENST00000459562	-18972	100151677	RNU7-80P	RNA, U7 small nuclear 80 pseudogene
15	33298711	33298942	232	*	Intron (ENST00000653439/ENSG00000259446, intron 1 of 1)	15	33303657	33310246	6590	2	ENSG00000259446	ENST00000561458	11304	101928134	RYR3-DT	RYR3 divergent transcript
15	33449066	33449311	246	*	Intron (ENST00000415757/ENSG00000198838, intron 1 of 102)	15	33533322	33539181	5860	1	ENSG00000198838	ENST00000635875	-84011	6263	RYR3	ryanodine receptor 3
15	34047495	34047876	382	*	Intron (ENST00000383263/ENSG00000184984, intron 2 of 2)	15	33866227	34039204	172978	2	ENSG00000169857	ENST00000306730	-8291	57099	AVEN	apoptosis and caspase activation inhibitor
15	34101801	34102147	347	*	Promoter (<=1kb)	15	34084017	34101862	17846	2	ENSG00000134153	ENST00000256545	0	56851	EMC7	ER membrane protein complex subunit 7
15	38593474	38593884	411	*	Distal Intergenic	15	38490480	38565575	75096	2	ENSG00000172575	ENST00000561180	-27899	10125	RASGRP1	RAS guanyl releasing protein 1
15	39782471	39782983	513	*	Promoter (<=1kb)	15	39600031	39782841	182811	2	ENSG00000150667	ENST00000350221	0	161835	FSIP1	fibrous sheath interacting protein 1
15	39933919	39934373	455	*	Promoter (<=1kb)	15	39934115	40035591	101477	1	ENSG00000128829	ENST00000263791	0	440275	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4
1	67832678	67833692	1015	*	Promoter (<=1kb)	1	67701475	67833467	131993	2	ENSG00000172380	ENST00000370982	0	55970	GNG12	G protein subunit gamma 12
15	40054805	40055597	793	*	Intron (ENST00000559012/ENSG00000248508, intron 2 of 6)	15	40039349	40057000	17652	1	ENSG00000248508	ENST00000560341	15456	100131089	SRP14-DT	SRP14 divergent transcript
15	40098799	40099103	305	*	Intron (ENST00000354670/ENSG00000104081, intron 4 of 4)	15	40091787	40106086	14300	2	ENSG00000104081	ENST00000431415	6983	90427	BMF	Bcl2 modifying factor
15	40103266	40103791	526	*	Promoter (2-3kb)	15	40091787	40106086	14300	2	ENSG00000104081	ENST00000431415	2295	90427	BMF	Bcl2 modifying factor
15	40108823	40109205	383	*	Promoter (<=1kb)	15	40087890	40108879	20990	2	ENSG00000104081	ENST00000354670	0	90427	BMF	Bcl2 modifying factor
15	40343571	40343865	295	*	Promoter (2-3kb)	15	40331452	40340939	9488	2	ENSG00000188549	ENST00000397536	-2632	388115	CCDC9B	coiled-coil domain containing 9B
15	40347976	40348394	419	*	Promoter (2-3kb)	15	40351033	40353772	2740	1	ENSG00000233041	ENST00000560745	-2639	644844	PHGR1	proline, histidine and glycine rich 1
15	40471790	40472364	575	*	Promoter (<=1kb)	15	40471086	40473128	2043	1	ENSG00000169105	ENST00000559991	704	113189	CHST14	carbohydrate sulfotransferase 14
15	40823685	40823953	269	*	Intron (ENST00000299174/ENSG00000166143, intron 1 of 3)	15	40815451	40828708	13258	2	ENSG00000166143	ENST00000299174	4755	54866	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D
15	40825590	40826474	885	*	Promoter (2-3kb)	15	40815451	40828708	13258	2	ENSG00000166143	ENST00000299174	2234	54866	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D
15	40953175	40953494	320	*	Promoter (<=1kb)	15	40953471	40956512	3042	1	ENSG00000128965	ENST00000617768	0	79094	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
15	41018487	41018850	364	*	Promoter (<=1kb)	15	41016990	41018843	1854	2	ENSG00000280036	ENST00000624853	0	NA	NA	NA
15	41231019	41231296	278	*	Promoter (<=1kb)	15	41231140	41279719	48580	1	ENSG00000187446	ENST00000560411	0	11261	CHP1	calcineurin like EF-hand protein 1
15	41283807	41284039	233	*	Promoter (<=1kb)	15	41283958	41306539	22582	1	ENSG00000247556	ENST00000500949	0	729082	OIP5-AS1	OIP5 antisense RNA 1
15	41332547	41332906	360	*	Promoter (<=1kb)	15	41309273	41332591	23319	2	ENSG00000104147	ENST00000220514	0	11339	OIP5	Opa interacting protein 5
15	41493119	41493721	603	*	Promoter (<=1kb)	15	41493393	41502488	9096	1	ENSG00000137825	ENST00000425927	0	3706	ITPKA	inositol-trisphosphate 3-kinase A
15	41774084	41774767	684	*	Promoter (<=1kb)	15	41774434	41825617	51184	1	ENSG00000137802	ENST00000512970	0	23005	MAPKBP1	mitogen-activated protein kinase binding protein 1
15	41870597	41870969	373	*	Intron (ENST00000320955/ENSG00000137877, intron 29 of 67)	15	41866495	41866551	57	2	ENSG00000264850	ENST00000582950	-4046	100423013	MIR4310	microRNA 4310
15	41933858	41934112	255	*	Intron (ENST00000220325/ENSG00000103966, intron 3 of 5)	15	41921417	41929286	7870	1	ENSG00000259883	ENST00000564168	12441	101928363	EHD4-AS1	EHD4 antisense RNA 1
15	42273345	42273673	329	*	Promoter (<=1kb)	15	42210447	42273433	62987	2	ENSG00000103978	ENST00000389834	0	25963	TMEM87A	transmembrane protein 87A
