seqnames	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
3	188817618	188818018	401	*	22467	0	Intron (ENST00000414139/ENSG00000145012, intron 8 of 10)	3	188758007	188876879	118873	1	ENSG00000145012	ENST00000459897	59611	4026	LPP	LIM domain containing preferred translocation partner in lipoma
14	101772803	101773203	401	*	10160	0	Intron (ENST00000694906/ENSG00000078304, intron 2 of 15)	14	101762928	101836451	73524	1	ENSG00000078304	ENST00000553890	9875	5527	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma
2	27021359	27021759	401	*	15542	0	5' UTR	2	27014799	27026355	11557	1	ENSG00000084764	ENST00000402218	6560	22924	MAPRE3	microtubule associated protein RP/EB family member 3
8	117811115	117811515	401	*	31417	0	Intron (ENST00000378204/ENSG00000182197, intron 8 of 10)	8	117799587	117806902	7316	2	ENSG00000182197	ENST00000684443	-4213	2131	EXT1	exostosin glycosyltransferase 1
11	67508019	67508419	401	*	6043	0	Promoter (<=1kb)	11	67506497	67508162	1666	2	ENSG00000167797	ENST00000301488	0	10263	CDK2AP2	cyclin dependent kinase 2 associated protein 2
7	54946311	54946711	401	*	29189	0	Distal Intergenic	7	54933699	54938184	4486	1	ENSG00000218586	ENST00000407916	12612	NA	NA	NA
1	63920507	63920907	401	*	982	0	Intron (ENST00000371079/ENSG00000185483, intron 1 of 8)	1	63843196	63843685	490	2	ENSG00000228056	ENST00000440942	-76822	NA	NA	NA
7	41579979	41580379	401	*	28923	0	Distal Intergenic	7	41689516	41692564	3049	2	ENSG00000122641	ENST00000464515	112185	3624	INHBA	inhibin subunit beta A
17	18946576	18946976	401	*	12532	0	Promoter (2-3kb)	17	18943999	18944073	75	1	ENSG00000212618	ENST00000391316	2577	124904114	LOC124904114	small nucleolar RNA MBII-202
11	34640254	34640654	401	*	5461	0	Promoter (1-2kb)	11	34642177	34646668	4492	1	ENSG00000135373	ENST00000529161	-1523	26298	EHF	ETS homologous factor
7	22667884	22668284	401	*	28545	0	Promoter (2-3kb)	7	22649960	22665533	15574	2	ENSG00000105889	ENST00000414116	-2351	256227	STEAP1B	STEAP family member 1B
8	126375413	126375813	401	*	31608	0	Distal Intergenic	8	126325467	126329535	4069	1	ENSG00000244791	ENST00000658969	49946	101927657	LOC101927657	uncharacterized LOC101927657
5	126354241	126354641	401	*	25132	0	Intron (ENST00000651847/ENSG00000248752, intron 1 of 15)	5	126360132	126493608	133477	1	ENSG00000155324	ENST00000513040	-5491	65983	GRAMD2B	GRAM domain containing 2B
3	186617004	186617404	401	*	22408	0	Exon (ENST00000411641/ENSG00000145192, exon 4 of 7)	3	186613085	186617989	4905	1	ENSG00000145192	ENST00000478441	3919	197	AHSG	alpha 2-HS glycoprotein
13	33218001	33218401	401	*	8513	0	Intron (ENST00000628131/ENSG00000236581, intron 2 of 5)	13	33103170	33206006	102837	2	ENSG00000133121	ENST00000399365	-11995	90627	STARD13	StAR related lipid transfer domain containing 13
17	72151531	72151931	401	*	13155	0	Intron (ENST00000674828/ENSG00000288605, intron 1 of 3)	17	72090459	72141780	51322	2	ENSG00000234899	ENST00000414600	-9751	400618	SOX9-AS1	SOX9 antisense RNA 1
2	11753425	11753825	401	*	15265	0	Intron (ENST00000449576/ENSG00000134324, intron 2 of 21)	2	11746638	11765625	18988	1	ENSG00000134324	ENST00000423495	6787	23175	LPIN1	lipin 1
8	144508049	144508449	401	*	31973	0	Promoter (<=1kb)	8	144509070	144511213	2144	1	ENSG00000167700	ENST00000301327	-621	113655	MFSD3	major facilitator superfamily domain containing 3
14	103540534	103540934	401	*	10246	0	Distal Intergenic	14	103550345	103550406	62	1	ENSG00000252469	ENST00000516660	-9411	106479085	RNU7-160P	RNA, U7 small nuclear 160 pseudogene
17	72407449	72407849	401	*	13162	0	Promoter (<=1kb)	17	72404768	72407568	2801	2	ENSG00000227036	ENST00000650600	0	400619	LINC00511	long intergenic non-protein coding RNA 511
6	155247567	155247967	401	*	28014	0	Intron (ENST00000461783/ENSG00000146426, intron 21 of 28)	6	155252919	155256686	3768	1	ENSG00000146426	ENST00000537845	-4952	26230	TIAM2	TIAM Rac1 associated GEF 2
12	46455784	46456184	401	*	7455	0	Exon (ENST00000551503/ENSG00000257261, exon 4 of 4)	12	46384289	46494474	110186	2	ENSG00000257496	ENST00000689808	38290	NA	NA	NA
3	185537401	185537801	401	*	22366	0	Intron (ENST00000296252/ENSG00000163898, intron 1 of 9)	3	185519144	185533660	14517	2	ENSG00000163898	ENST00000452897	-3741	200879	LIPH	lipase H
6	134288728	134289128	401	*	27680	0	Intron (ENST00000367858/ENSG00000118515, intron 1 of 13)	6	134283092	134283193	102	1	ENSG00000201309	ENST00000364439	5636	NA	NA	NA
8	143986235	143986635	401	*	31952	0	Promoter (<=1kb)	8	143977153	143986446	9294	2	ENSG00000178685	ENST00000524918	0	84875	PARP10	poly(ADP-ribose) polymerase family member 10
2	223799462	223799862	401	*	18147	0	Intron (ENST00000699384/ENSG00000152056, intron 1 of 10)	2	223758218	223777867	19650	2	ENSG00000152056	ENST00000699390	-21595	130340	AP1S3	adaptor related protein complex 1 subunit sigma 3
1	3543228	3543628	401	*	62	0	Intron (ENST00000356575/ENSG00000162591, intron 4 of 36)	1	3489920	3531448	41529	2	ENSG00000162591	ENST00000294599	-11780	1953	MEGF6	multiple EGF like domains 6
6	155127011	155127411	401	*	28006	0	Promoter (1-2kb)	6	155129172	155257662	128491	1	ENSG00000146426	ENST00000360366	-1761	26230	TIAM2	TIAM Rac1 associated GEF 2
7	158802684	158803084	401	*	30447	0	Intron (ENST00000251527/ENSG00000117868, intron 1 of 21)	7	158773367	158827641	54275	2	ENSG00000117868	ENST00000483958	24557	57488	ESYT2	extended synaptotagmin 2
6	129312867	129313267	401	*	27588	0	Exon (ENST00000617695/ENSG00000196569, exon 23 of 64)	6	129342383	129353716	11334	1	ENSG00000196569	ENST00000692206	-29116	3908	LAMA2	laminin subunit alpha 2
14	68255892	68256292	401	*	9699	0	Intron (ENST00000479335/ENSG00000182185, intron 8 of 11)	14	68236243	68236539	297	2	ENSG00000243546	ENST00000481903	-19353	106480950	RN7SL108P	RNA, 7SL, cytoplasmic 108, pseudogene
11	64876877	64877277	401	*	5904	0	Promoter (<=1kb)	11	64854612	64877917	23306	2	ENSG00000110047	ENST00000421510	640	10938	EHD1	EH domain containing 1
7	26515501	26515901	401	*	28628	0	Distal Intergenic	7	26538378	26541048	2671	1	ENSG00000280255	ENST00000623092	-22477	NA	NA	NA
9	137188645	137189045	401	*	33238	0	Promoter (<=1kb)	9	137188660	137190370	1711	1	ENSG00000176101	ENST00000459860	0	8636	SSNA1	SS nuclear autoantigen 1
13	98416336	98416736	401	*	8913	0	Intron (ENST00000595437/ENSG00000152767, intron 16 of 27)	13	98404071	98425498	21428	1	ENSG00000152767	ENST00000457029	12265	10160	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
12	1605943	1606343	401	*	6991	0	Intron (ENST00000539198/ENSG00000111186, intron 1 of 3)	12	1616660	1631323	14664	1	ENSG00000111186	ENST00000538854	-10317	81029	WNT5B	Wnt family member 5B
2	173109256	173109656	401	*	17505	0	Intron (ENST00000539448/ENSG00000091436, intron 2 of 11)	2	173090619	173187623	97005	1	ENSG00000091436	ENST00000422149	18637	51776	MAP3K20	mitogen-activated protein kinase kinase kinase 20
7	29109782	29110182	401	*	28683	0	Promoter (2-3kb)	7	29066042	29112921	46880	2	ENSG00000106066	ENST00000448959	2739	54504	CPVL	carboxypeptidase vitellogenic like
22	46250101	46250501	401	*	20258	0	Promoter (<=1kb)	22	46244013	46250293	6281	2	ENSG00000205643	ENST00000314567	0	150383	CDPF1	cysteine rich DPF motif domain containing 1
1	235079496	235079896	401	*	3399	0	Distal Intergenic	1	235065479	235074220	8742	2	ENSG00000280587	ENST00000628622	-5276	731656	LINC01348	long intergenic non-protein coding RNA 1348
7	24379219	24379619	401	*	28586	0	Intron (ENST00000662001/ENSG00000287523, intron 1 of 1)	7	24318094	24445128	127035	2	ENSG00000287523	ENST00000662001	65509	NA	NA	NA
1	233635925	233636325	401	*	3344	0	Promoter (<=1kb)	1	233636524	233666990	30467	1	ENSG00000135750	ENST00000487728	-199	3775	KCNK1	potassium two pore domain channel subfamily K member 1
8	144472293	144472693	401	*	31970	0	Promoter (1-2kb)	8	144470582	144472808	2227	1	ENSG00000167702	ENST00000531423	1711	90990	KIFC2	kinesin family member C2
3	101036318	101036718	401	*	21173	0	Distal Intergenic	3	100749335	100993515	244181	2	ENSG00000154175	ENST00000284322	-42803	25890	ABI3BP	ABI family member 3 binding protein
1	208107948	208108348	401	*	2942	0	Promoter (1-2kb)	1	208106102	208107655	1554	1	ENSG00000287220	ENST00000668227	1846	NA	NA	NA
3	194158814	194159214	401	*	22600	0	Distal Intergenic	3	194145674	194145971	298	1	ENSG00000242201	ENST00000487718	13140	106480980	RN7SL215P	RNA, 7SL, cytoplasmic 215, pseudogene
6	13480810	13481210	401	*	26353	0	Intron (ENST00000379287/ENSG00000145990, intron 1 of 1)	6	13363355	13486183	122829	2	ENSG00000145990	ENST00000612338	4973	54438	GFOD1	Gfo/Idh/MocA-like oxidoreductase domain containing 1
6	14732935	14733335	401	*	26375	0	Intron (ENST00000689305/ENSG00000234261, intron 2 of 2)	6	14660285	14777608	117324	2	ENSG00000234261	ENST00000689305	44273	NA	NA	NA
6	138465003	138465403	401	*	27775	0	Promoter (<=1kb)	6	138464099	138464383	285	1	ENSG00000274594	ENST00000619829	904	NA	NA	NA
7	101608763	101609163	401	*	29688	0	Distal Intergenic	7	101613356	101624703	11348	2	ENSG00000106436	ENST00000706943	15540	93408	MYL10	myosin light chain 10
16	66580584	66580984	401	*	11876	0	Promoter (<=1kb)	16	66579983	66580716	734	2	ENSG00000260650	ENST00000568430	0	NA	NA	NA
2	222842527	222842927	401	*	18115	0	Distal Intergenic	2	222860942	222942222	81281	1	ENSG00000123983	ENST00000392066	-18015	2181	ACSL3	acyl-CoA synthetase long chain family member 3
3	183765386	183765786	401	*	22305	0	Intron (ENST00000305135/ENSG00000163872, intron 15 of 30)	3	183775991	183793486	17496	1	ENSG00000163872	ENST00000432781	-10205	55689	YEATS2	YEATS domain containing 2
17	4789919	4790319	401	*	12378	0	Promoter (<=1kb)	17	4788964	4790589	1626	1	ENSG00000182327	ENST00000331264	955	388323	GLTPD2	glycolipid transfer protein domain containing 2
10	47362222	47362622	401	*	3948	0	Distal Intergenic	10	47348363	47357881	9519	1	ENSG00000265203	ENST00000584701	13859	5949	RBP3	retinol binding protein 3
2	217331514	217331914	401	*	17986	0	Intron (ENST00000452813/ENSG00000233143, intron 4 of 4)	2	217284027	217328468	44442	2	ENSG00000231672	ENST00000663156	-3046	729582	DIRC3	disrupted in renal carcinoma 3
16	57341697	57342097	401	*	11796	0	Distal Intergenic	16	57332379	57332599	221	2	ENSG00000271456	ENST00000604358	-9098	NA	NA	NA
7	130996862	130997262	401	*	29993	0	Intron (ENST00000642963/ENSG00000231721, intron 2 of 6)	7	130872363	130941602	69240	2	ENSG00000231721	ENST00000702534	-55260	378805	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
2	96832676	96833076	401	*	16661	0	3' UTR	2	96828566	96832573	4008	1	ENSG00000168763	ENST00000480035	4110	26505	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3
14	75400304	75400704	401	*	9889	0	Distal Intergenic	14	75426943	75427476	534	1	ENSG00000289918	ENST00000701672	-26239	NA	NA	NA
10	73871953	73872353	401	*	4319	0	Promoter (<=1kb)	10	73815060	73872390	57331	2	ENSG00000148660	ENST00000700394	37	818	CAMK2G	calcium/calmodulin dependent protein kinase II gamma
17	4521164	4521564	401	*	12371	0	Intron (ENST00000329078/ENSG00000183018, intron 2 of 12)	17	4533032	4537798	4767	1	ENSG00000183018	ENST00000571386	-11468	124976	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate
7	20217567	20217967	401	*	28504	0	Promoter (<=1kb)	7	20217577	20221697	4121	1	ENSG00000233834	ENST00000685445	0	100506098	GIRGL	glutamine insufficiency regulator of glutaminase lncRNA
14	64806479	64806879	401	*	9641	0	Intron (ENST00000644917/ENSG00000070182, intron 2 of 35)	14	64746284	64823148	76865	2	ENSG00000070182	ENST00000389722	16269	6710	SPTB	spectrin beta, erythrocytic
1	109570480	109570880	401	*	1624	0	Intron (ENST00000369851/ENSG00000065135, intron 1 of 8)	1	109591534	109591640	107	2	ENSG00000206832	ENST00000384105	20760	NA	NA	NA
18	9838449	9838849	401	*	13451	0	Promoter (2-3kb)	18	9840340	9841559	1220	2	ENSG00000285653	ENST00000649534	2710	NA	NA	NA
2	9753021	9753421	401	*	15170	0	Distal Intergenic	2	9746704	9746869	166	1	ENSG00000240960	ENST00000496833	6317	NA	NA	NA
3	194488506	194488906	401	*	22609	0	Promoter (<=1kb)	3	194487854	194507538	19685	1	ENSG00000233058	ENST00000657621	652	NA	NA	NA
15	63019565	63019965	401	*	10555	0	Distal Intergenic	15	63042620	63071906	29287	1	ENSG00000140416	ENST00000559831	-22655	7168	TPM1	tropomyosin 1
7	130008931	130009331	401	*	29968	0	Promoter (<=1kb)	7	130008854	130026551	17698	1	ENSG00000244036	ENST00000480018	77	NA	NA	NA
2	27050877	27051277	401	*	15544	0	Promoter (<=1kb)	2	27051008	27053980	2973	1	ENSG00000084693	ENST00000453161	0	60509	AGBL5	AGBL carboxypeptidase 5
2	25311302	25311702	401	*	15498	0	Intron (ENST00000264709/ENSG00000119772, intron 2 of 22)	2	25328640	25328721	82	2	ENSG00000221445	ENST00000408518	17019	100302246	MIR1301	microRNA 1301
8	121145554	121145954	401	*	31476	0	Distal Intergenic	8	121113358	121113919	562	2	ENSG00000271219	ENST00000604710	-31635	NA	NA	NA
2	237662660	237663060	401	*	18427	0	Intron (ENST00000308482/ENSG00000124831, intron 1 of 23)	2	237683404	237684473	1070	1	ENSG00000124831	ENST00000489295	-20344	9208	LRRFIP1	LRR binding FLII interacting protein 1
14	74988161	74988561	401	*	9867	0	Distal Intergenic	14	75002921	75012366	9446	1	ENSG00000119718	ENST00000266126	-14360	8892	EIF2B2	eukaryotic translation initiation factor 2B subunit beta
7	55043700	55044100	401	*	29200	0	Exon (ENST00000459688/ENSG00000146648, exon 2 of 2)	7	55019151	55119401	100251	1	ENSG00000146648	ENST00000463948	24549	1956	EGFR	epidermal growth factor receptor
2	219689080	219689480	401	*	18060	0	Promoter (2-3kb)	2	219686987	219714686	27700	1	ENSG00000227308	ENST00000416861	2093	NA	NA	NA
20	2768306	2768706	401	*	18532	0	Distal Intergenic	20	2780614	2781041	428	1	ENSG00000226217	ENST00000411635	-11908	140759	RPL19P1	ribosomal protein L19 pseudogene 1
6	136644101	136644501	401	*	27721	0	Intron (ENST00000432477/ENSG00000234263, intron 2 of 2)	6	136630243	136630355	113	1	ENSG00000212242	ENST00000390940	13858	100873479	RNA5SP219	RNA, 5S ribosomal pseudogene 219
1	85544609	85545009	401	*	1241	0	Intron (ENST00000426972/ENSG00000153904, intron 1 of 6)	1	85495431	85521810	26380	2	ENSG00000282057	ENST00000472448	-22799	NA	NA	NA
1	109162253	109162653	401	*	1601	0	Promoter (<=1kb)	1	109161606	109164626	3021	1	ENSG00000116299	ENST00000533374	647	57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1
1	91795957	91796357	401	*	1356	0	Intron (ENST00000533089/ENSG00000069702, intron 2 of 19)	1	91727777	91766432	38656	2	ENSG00000069702	ENST00000468996	-29525	7049	TGFBR3	transforming growth factor beta receptor 3
16	83802114	83802514	401	*	12138	0	Promoter (1-2kb)	16	83789967	83803528	13562	2	ENSG00000260228	ENST00000565714	1014	102724163	CDH13-AS2	CDH13 antisense RNA 2
8	122686993	122687393	401	*	31497	0	Intron (ENST00000664854/ENSG00000253819, intron 1 of 3)	8	122634398	122694085	59688	2	ENSG00000253819	ENST00000666337	6692	NA	NA	NA
15	80033342	80033742	401	*	10784	0	Distal Intergenic	15	80014157	80015707	1551	1	ENSG00000279705	ENST00000623627	19185	NA	NA	NA
22	50303760	50304160	401	*	20319	0	Promoter (2-3kb)	22	50287987	50301462	13476	2	ENSG00000196576	ENST00000432455	-2298	23654	PLXNB2	plexin B2
2	43305057	43305457	401	*	15893	0	Intron (ENST00000407351/ENSG00000115970, intron 16 of 22)	2	43286985	43293066	6082	2	ENSG00000115970	ENST00000485018	-11991	63892	THADA	THADA armadillo repeat containing
2	128425820	128426220	401	*	17169	0	Distal Intergenic	2	128445081	128445198	118	2	ENSG00000238379	ENST00000459503	18978	100873374	RNA5SP103	RNA, 5S ribosomal pseudogene 103
6	137978278	137978678	401	*	27763	0	Distal Intergenic	6	137995270	137996147	878	1	ENSG00000219463	ENST00000403415	-16592	100270919	RPSAP42	ribosomal protein SA pseudogene 42
16	89320288	89320688	401	*	12259	0	Promoter (<=1kb)	16	89298868	89320356	21489	2	ENSG00000167522	ENST00000567736	0	29123	ANKRD11	ankyrin repeat domain containing 11
3	187063798	187064198	401	*	22423	0	Intron (ENST00000169298/ENSG00000073849, intron 5 of 7)	3	187071974	187078551	6578	1	ENSG00000073849	ENST00000470633	-7776	6480	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
13	98320424	98320824	401	*	8912	0	Intron (ENST00000595437/ENSG00000152767, intron 2 of 27)	13	98328191	98343812	15622	1	ENSG00000152767	ENST00000601361	-7367	10160	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
2	222519060	222519460	401	*	18102	0	Intron (ENST00000321276/ENSG00000163082, intron 2 of 4)	2	222503883	222504843	961	2	ENSG00000234285	ENST00000421421	-14217	100421189	GAPDHP49	glyceraldehyde 3 phosphate dehydrogenase pseudogene 49
2	27134501	27134901	401	*	15548	0	Promoter (<=1kb)	2	27130756	27134629	3874	2	ENSG00000138073	ENST00000468045	0	10113	PREB	prolactin regulatory element binding
7	151123887	151124287	401	*	30315	0	Promoter (<=1kb)	7	151123622	151138286	14665	1	ENSG00000133612	ENST00000485904	265	116988	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
2	47310191	47310591	401	*	16026	0	Promoter (<=1kb)	2	47213978	47310408	96431	2	ENSG00000234690	ENST00000658129	0	101927043	EPCAM-DT	EPCAM divergent transcript
8	102616949	102617349	401	*	31278	0	Distal Intergenic	8	102621509	102622331	823	2	ENSG00000253382	ENST00000521750	4982	NA	NA	NA
X	115649497	115649897	401	*	33854	0	3' UTR	23	115640304	115646157	5854	1	ENSG00000102024	ENST00000466150	9193	5358	PLS3	plastin 3
6	134436153	134436553	401	*	27687	0	Promoter (1-2kb)	6	134437709	134438928	1220	1	ENSG00000236700	ENST00000702277	-1156	154092	LINC01010	long intergenic non-protein coding RNA 1010
6	11921009	11921409	401	*	26317	0	Distal Intergenic	6	11861626	11862970	1345	2	ENSG00000215124	ENST00000299540	-58039	NA	NA	NA
14	101552725	101553125	401	*	10152	0	Promoter (2-3kb)	14	101552230	101555384	3155	2	ENSG00000258498	ENST00000700213	2259	64150	DIO3OS	DIO3 opposite strand upstream RNA
2	158723859	158724259	401	*	17368	0	Promoter (<=1kb)	2	158678656	158723980	45325	2	ENSG00000204380	ENST00000629904	0	100129029	PKP4-AS1	PKP4 antisense RNA 1
9	105912850	105913250	401	*	32711	0	Distal Intergenic	9	105850025	105851425	1401	1	ENSG00000228948	ENST00000602729	62825	NA	NA	NA
3	112646816	112647216	401	*	21317	0	Promoter (2-3kb)	3	112640721	112649447	8727	2	ENSG00000091986	ENST00000473959	2231	151887	CCDC80	coiled-coil domain containing 80
5	87099543	87099943	401	*	24823	0	Promoter (2-3kb)	5	87102603	87102846	244	2	ENSG00000251951	ENST00000516142	2903	106479110	RN7SKP34	RN7SK pseudogene 34
6	14743914	14744314	401	*	26376	0	Intron (ENST00000689305/ENSG00000234261, intron 1 of 2)	6	14660285	14777608	117324	2	ENSG00000234261	ENST00000689305	33294	NA	NA	NA
3	193782274	193782674	401	*	22564	0	Exon (ENST00000664530/ENSG00000287206, exon 4 of 4)	3	193770543	193772424	1882	2	ENSG00000286624	ENST00000666648	-9850	NA	NA	NA
9	99019669	99020069	401	*	32636	0	Intron (ENST00000375001/ENSG00000204291, intron 11 of 41)	9	99038673	99041377	2705	1	ENSG00000204291	ENST00000496686	-18604	1306	COL15A1	collagen type XV alpha 1 chain
2	46408918	46409318	401	*	15976	0	Distal Intergenic	2	46392294	46394228	1935	2	ENSG00000228100	ENST00000665509	-14690	105374582	LINC01820	long intergenic non-protein coding RNA 1820
5	33148225	33148625	401	*	24224	0	Intron (ENST00000657441/ENSG00000250697, intron 1 of 1)	5	33162179	33162807	629	1	ENSG00000240376	ENST00000467270	-13554	728553	RPS8P8	ribosomal protein S8 pseudogene 8
7	92916730	92917130	401	*	29552	0	Exon (ENST00000686356/ENSG00000237819, exon 3 of 3)	7	92971002	92971299	298	2	ENSG00000266794	ENST00000467823	54169	NA	NA	NA
11	129828387	129828787	401	*	6900	0	Intron (ENST00000281441/ENSG00000151715, intron 1 of 5)	11	129815871	129852961	37091	1	ENSG00000151715	ENST00000529381	12516	120224	TMEM45B	transmembrane protein 45B
11	129846397	129846797	401	*	6902	0	Intron (ENST00000281441/ENSG00000151715, intron 1 of 5)	11	129850332	129859215	8884	1	ENSG00000151715	ENST00000524567	-3535	120224	TMEM45B	transmembrane protein 45B
9	96566378	96566778	401	*	32578	0	Promoter (<=1kb)	9	96534001	96566830	32830	2	ENSG00000081377	ENST00000452280	52	8555	CDC14B	cell division cycle 14B
3	188295046	188295446	401	*	22458	0	Intron (ENST00000448637/ENSG00000145012, intron 1 of 6)	3	188300455	188301990	1536	1	ENSG00000288794	ENST00000692151	-5009	NA	NA	NA
13	33152369	33152769	401	*	8512	0	Intron (ENST00000336934/ENSG00000133121, intron 3 of 13)	13	33158587	33164409	5823	2	ENSG00000230300	ENST00000456087	11640	NA	NA	NA
3	190322277	190322677	401	*	22505	0	Promoter (<=1kb)	3	190322541	190404930	82390	1	ENSG00000113946	ENST00000468220	0	10686	CLDN16	claudin 16
2	30273194	30273594	401	*	15646	0	Intron (ENST00000404397/ENSG00000213626, intron 2 of 2)	2	30234266	30257700	23435	1	ENSG00000213626	ENST00000484150	38928	81606	LBH	LBH regulator of WNT signaling pathway
10	75359058	75359458	401	*	4350	0	Exon (ENST00000663601/ENSG00000226051, exon 3 of 3)	10	75342280	75360850	18571	1	ENSG00000226051	ENST00000661449	16778	253264	ZNF503-AS1	ZNF503 antisense RNA 1
7	54961455	54961855	401	*	29191	0	Distal Intergenic	7	54933699	54938184	4486	1	ENSG00000218586	ENST00000407916	27756	NA	NA	NA
3	178518593	178518993	401	*	22212	0	Intron (ENST00000437510/ENSG00000197584, intron 1 of 3)	3	178536205	178843141	306937	1	ENSG00000197584	ENST00000420517	-17212	10242	KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2
9	121972432	121972832	401	*	32988	0	Intron (ENST00000321582/ENSG00000175764, intron 6 of 8)	9	121821971	121963730	141760	2	ENSG00000175764	ENST00000687938	-8702	158135	TTLL11	tubulin tyrosine ligase like 11
3	138921764	138922164	401	*	21708	0	Distal Intergenic	3	138940428	138942578	2151	2	ENSG00000244578	ENST00000477059	20414	103344930	LINC01391	long intergenic non-protein coding RNA 1391
7	134533378	134533778	401	*	30057	0	Intron (ENST00000359579/ENSG00000198074, intron 4 of 9)	7	134537580	134541408	3829	1	ENSG00000198074	ENST00000498818	-3802	57016	AKR1B10	aldo-keto reductase family 1 member B10
3	196942310	196942710	401	*	22704	0	Promoter (<=1kb)	3	196935406	196942377	6972	2	ENSG00000114503	ENST00000447325	0	22916	NCBP2	nuclear cap binding protein subunit 2
